Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
Glacier NP,GLAC1,IMPAER,US,MT,30029,300299001,48.5105,-113.9966,975,03/02/1988,02/27/2020,NA,Unknown,NA,2 miles NW of park HQ at Apgar stables,NPS,IMPROVE,1
Great Basin NP,GRBA1,IMPAER,US,NV,32033,320339000,39.0052,-114.2161,2065,03/04/1992,02/27/2020,NA,Unknown,NA,"Residence area 1 mi E of VC, 200 yds south of maintenance area",NPS,IMPROVE,1
Great Gulf Wilderness,GRGU1,IMPAER,US,NH,33007,330074002,44.3082,-71.2177,453,06/03/1995,02/27/2020,NA,Unknown,NA,"Camp Dodge, White Mt NF, S of Gorham, NH",USFS,IMPROVE,1
Great River Bluffs,GRRI1,IMPAER,US,MN,27169,271699000,43.9373,-91.4052,370,06/01/2002,02/27/2020,NA,Unknown,NA,NA,STATE,IMPROVE,1
Great Sand Dunes NM,GRSA1,IMPAER,US,CO,08003,080039000,37.7249,-105.5185,2498,03/02/1988,02/27/2020,NA,Unknown,NA,Monument Headquarters,NPS,IMPROVE,1
Great Smoky Mountains NP,GRSM1,IMPAER,US,TN,47009,470090101,35.6334,-83.9416,810,03/02/1988,02/27/2020,NA,Unknown,NA,"Look Rock, 8 mi S of Maryville, TN",NPS,IMPROVE,1
Great Smoky Mountains NP (PM10 Speciation),GRSM9,IMPAER,US,TN,NA,NA,35.6334,-83.9417,815,01/01/2005,04/28/2005,NA,NA,NA,"Look Rock, 8 mi S of Maryville, TN",NPS,IMPROVE,1
Guadalupe Mountains NP,GUMO1,IMPAER,US,TX,48109,481099000,31.833,-104.8094,1672,03/02/1988,02/27/2020,NA,Unknown,NA,10 miles SW of Frijole at FAA site,NPS,IMPROVE,1
Haleakala Crater,HACR1,IMPAER,US,HI,NA,NA,20.7585,-156.2479,2158,01/24/2007,02/27/2020,NA,NA,NA,NA,NA,IMPROVE,1
Haleakala NP,HALE1,IMPAER,US,HI,15009,150099000,20.8086,-156.2823,1153,12/01/1990,05/30/2012,NA,Unknown,NA,Olinda Research facility,NPS,IMPROVE,1
Hance Camp at Grand Canyon NP,GRCA2,IMPAER,US,AZ,04005,040058102,35.9731,-111.9841,2267,03/02/1996,02/27/2020,NA,Unknown,NA,"200 yds S of East Rim Drive, 1.2 miles S of Grandview Point turnoff",NA,IMPROVE,1
Hawaii Volcanoes NP,HAVO1,IMPAER,US,HI,15001,150019002,19.4309,-155.2579,1258,03/02/1988,02/27/2020,NA,Unknown,NA,Behind Craft Center,NPS,IMPROVE,1
Hells Canyon,HECA1,IMPAER,US,OR,41063,410630002,44.9702,-116.8438,655,09/03/2000,02/27/2020,NA,Unknown,NA,hilltop W of Oxbow Dam,USFS,IMPROVE,1
Hercules-Glades,HEGL1,IMPAER,US,MO,29213,292130003,36.6138,-92.9221,404,03/02/2001,02/27/2020,NA,Unknown,NA,"12 mi E of Forsythe, MO",USFS,IMPROVE,2
Hillside,HILL1,IMPAER,US,AZ,04025,040250005,34.4289,-112.9628,1510,04/19/2001,05/31/2005,NA,Unknown,NA,NA,STATE,IMPROVE,1
Hoover,HOOV1,IMPAER,US,CA,06051,060519000,38.0881,-119.1771,2560,06/06/2001,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,2
Hopi Point #1,GRCA1,IMPAER,US,AZ,04005,040052002,36.0658,-112.1539,2164,03/02/1988,12/29/1999,NA,Unknown,NA,Hopi Point Fire Tower,NA,IMPROVE,1
Houston Deer Park #2,HOUS1,IMPAER,US,TX,48201,482011039,29.6698,-95.1285,7,03/01/2004,08/29/2005,NA,NA,NA,NA,STN,IMPROVE,2
Ike's Backbone,IKBA1,IMPAER,US,AZ,04025,040258104,34.3405,-111.6832,1297,03/29/2000,02/27/2020,NA,Unknown,NA,NA,USFS,IMPROVE,1
Indian Gardens,INGA1,IMPAER,US,AZ,04005,040058100,36.0778,-112.1288,1166,09/02/1989,05/13/2013,NA,Unknown,NA,"Indian Gardens picnic area, Grand Canyon NP, Ranger Station",NPS,IMPROVE,1
Is 52,NEYO1,IMPAER,US,NY,36005,360050110,40.8161,-73.9019,45,08/01/2004,06/07/2010,NA,NA,NA,NA,STN,IMPROVE,1
Isle Royale NP,ISLE1,IMPAER,US,MI,26083,260839000,47.4596,-88.1491,182,11/17/1999,02/27/2020,NA,Unknown,NA,Near the boat ramp on point opposite town of Eagle Harbor,NPS,IMPROVE,1
Isle Royale NP,ISRO1,IMPAER,US,MI,26083,260839001,47.9167,-89.15,213,06/01/1988,12/29/1999,NA,Unknown,NA,Windigo Ranger Station,NA,IMPROVE,1
